key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc,relL2_spectrum_fno48_floor6_smooth1_qc_mhi100,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_mhi100,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc,patR2_spectrum_fno48_floor6_smooth1_qc_mhi100,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc,crf_spectrum_fno48_floor6_smooth1_qc_mhi100,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,winner
run10_sparc_1300,sparc_1300,0.468011,0.569307,0.528773,0.473958,0.467559,0.530450,0.528771,0.473958,0.980066,0.941582,0.958680,0.969102,0.835203,0.857555,0.768593,0.911237,spectrum_fno48_floor6_smooth1_qc_peak4
run10_sparc_1302,sparc_1302,2.010591,1.682217,2.096867,1.725874,0.958201,0.977617,0.979588,0.891510,0.931316,0.901295,0.924858,0.915161,0.565947,0.532073,0.730591,0.876751,spectrum_fno48_floor6_smooth1_qc
run10_sparc_1305,sparc_1305,1.359383,1.287224,1.709827,1.033249,0.832664,0.841391,0.939250,0.767044,0.913037,0.900974,0.919482,0.908107,0.543004,0.902652,0.928763,0.770080,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1306,sparc_1306,1.060983,1.067485,1.202978,0.987921,0.787666,0.856106,0.932881,0.789869,0.896296,0.910343,0.933042,0.882125,0.881919,0.794879,0.895634,0.938200,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1307,sparc_1307,0.694049,0.608420,0.805229,0.623549,0.680527,0.592783,0.750664,0.612457,0.907545,0.901070,0.917571,0.880310,0.950186,0.855059,0.976129,0.975480,spectrum_fno48_floor6_smooth1_qc
run10_sparc_1319,sparc_1319,0.789359,0.746394,0.910420,0.634834,0.754848,0.744922,0.841781,0.623362,0.875940,0.864716,0.904614,0.885322,0.698815,0.488392,0.715664,0.938039,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1360,sparc_1360,0.804488,0.639312,0.731057,0.518886,0.749382,0.638962,0.723236,0.514780,0.891935,0.896328,0.916169,0.896313,0.891672,0.375374,0.759094,0.924466,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1361,sparc_1361,0.816923,0.577859,0.720365,0.493879,0.745036,0.576165,0.714585,0.492533,0.881799,0.891579,0.906697,0.890172,0.903984,0.518614,0.694890,0.933963,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1364,sparc_1364,0.645901,0.675389,0.829270,0.549323,0.644044,0.665772,0.809330,0.549138,0.887226,0.884402,0.901319,0.882216,0.600333,0.672186,0.784791,0.834555,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1407,sparc_1407,1.323896,1.343063,1.630110,1.154886,0.837334,0.916649,0.946691,0.874880,0.924528,0.911997,0.936744,0.898102,0.875175,0.774514,0.928510,0.889174,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1412,sparc_1412,0.773905,0.774963,0.977732,0.525755,0.770780,0.773701,0.899346,0.525721,0.889862,0.886866,0.908910,0.892217,0.443581,0.397026,0.671876,0.821221,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1420,sparc_1420,0.858817,0.911429,0.924877,0.739863,0.852000,0.899587,0.914531,0.739625,0.884180,0.863168,0.891423,0.893103,0.799323,0.873889,0.700959,0.854617,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1440,sparc_1440,1.525237,1.074454,1.914341,0.977739,0.882251,0.839755,0.959114,0.898255,0.864623,0.892824,0.888154,0.865319,0.860264,0.792889,0.868502,0.675039,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1441,sparc_1441,1.452417,1.050761,1.819905,0.968591,0.876183,0.839760,0.957555,0.898970,0.871650,0.898625,0.895540,0.870424,0.854401,0.788611,0.838351,0.722492,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1515,sparc_1515,0.970241,1.052434,1.031088,0.927250,0.945840,0.992451,0.991405,0.916113,0.815760,0.712954,0.810547,0.825221,0.916321,0.734588,0.923126,0.978456,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1308,sparc_1308,0.912532,0.944638,0.989784,0.857397,0.877834,0.867062,0.923236,0.837433,0.835405,0.859322,0.897641,0.782450,0.888503,0.784897,0.838596,0.956224,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1309,sparc_1309,1.023566,0.963377,1.233220,0.660678,0.850380,0.788289,0.895051,0.623271,0.882779,0.848804,0.828572,0.877333,0.872677,0.926678,0.963463,0.808812,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1310,sparc_1310,0.905658,0.737573,1.127955,0.594817,0.827202,0.725586,0.856370,0.593553,0.886648,0.894893,0.919985,0.890412,0.797830,0.723114,0.899082,0.829530,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1316,sparc_1316,0.834315,0.620557,0.751956,0.545703,0.799520,0.606986,0.715576,0.539862,0.876221,0.869844,0.904718,0.888340,0.752481,0.462998,0.314127,0.962973,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1349,sparc_1349,0.845251,0.639692,0.887206,0.552024,0.826833,0.639683,0.827218,0.551906,0.888750,0.889692,0.917166,0.883970,0.727920,0.482924,0.875528,0.834328,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1350,sparc_1350,1.029436,0.675278,1.008917,0.583290,0.867233,0.675087,0.824595,0.572802,0.893539,0.902134,0.911323,0.913589,0.901279,0.291188,0.736803,0.870739,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1361,sparc_1361,0.583330,0.500324,0.903465,0.474578,0.574852,0.497057,0.796606,0.471525,0.886129,0.882020,0.893046,0.888673,0.747147,0.214380,0.680489,0.843154,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1401,sparc_1401,0.562898,0.607025,0.666641,0.497916,0.552123,0.606141,0.663963,0.497907,0.909477,0.910033,0.933462,0.892668,0.925076,0.855794,0.780578,0.941488,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1407,sparc_1407,0.868676,0.972008,1.223807,0.796767,0.742678,0.764432,0.881416,0.707571,0.923399,0.926858,0.943956,0.923240,0.801450,0.705710,0.756726,0.875368,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1410,sparc_1410,1.054115,0.856180,1.072806,0.559885,0.867885,0.782021,0.916799,0.558264,0.893949,0.866460,0.844500,0.893651,0.846851,0.878817,0.883575,0.818720,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1413,sparc_1413,0.984902,0.720726,0.901074,0.567479,0.854648,0.711864,0.868960,0.567464,0.886621,0.890794,0.916466,0.893327,0.853805,0.709339,0.689918,0.870144,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1414,sparc_1414,0.847389,0.677594,1.272150,0.545394,0.807055,0.677593,0.903329,0.543904,0.881977,0.886311,0.888640,0.881157,0.826176,0.638799,0.905524,0.847589,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1421,sparc_1421,0.755865,0.744979,0.965121,0.600257,0.741396,0.733102,0.835830,0.585491,0.857872,0.863662,0.902311,0.886007,0.888328,0.862818,0.966032,0.768431,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1425,sparc_1425,1.311207,1.278859,1.311096,0.994843,0.892052,0.936708,0.920640,0.748528,0.735911,0.831859,0.859265,0.890737,0.713322,0.756190,0.788570,0.822659,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
